name,action-time-start,action-time-end,action-total-seconds,cycle
system-monitoring,1713194746.353566,1713194746.516496,0.16293,2
server-monitoring,1713194746.3533366,1713194746.6430569,0.28972,2
check-workers,1713194751.3512375,1713194751.466037,0.1148,2
server-monitoring,1713194751.3533492,1713194751.6093607,0.25601,2
aggregation-pipeline,1713194756.3533084,1713194756.516976,0.16367,2
check-workers,1713194756.3503397,1713194756.4984007,0.14806,2
server-monitoring,1713194756.3528762,1713194756.6916034,0.33873,2
system-monitoring,1713194756.3531184,1713194756.8126066,0.45949,2
check-workers,1713194761.3512375,1713194761.4485347,0.0973,2
server-monitoring,1713194761.354367,1713194761.6635017,0.30913,2
check-workers,1713194766.3502314,1713194766.3978882,0.04766,2
model-pipeline,1713194766.3546152,1713194766.4667602,0.11214,2
data-pipeline,1713194766.354091,1713194766.5339315,0.17984,2
update-pipeline,1713194766.3552713,1713194766.5876522,0.23238,2
system-monitoring,1713194766.3536613,1713194766.7746615,0.421,2
server-monitoring,1713194766.3533885,1713194766.7256794,0.37229,2
check-workers,1713194771.3505132,1713194771.4724388,0.12193,2
server-monitoring,1713194771.353947,1713194771.6028795,0.24893,2
check-workers,1713194776.351815,1713194776.4820912,0.13028,2
system-monitoring,1713194776.3561215,1713194776.6160893,0.25997,2
server-monitoring,1713194776.3556533,1713194776.9344554,0.5788,2
check-workers,1713194781.350523,1713194781.474511,0.12399,2
server-monitoring,1713194781.3538387,1713194781.6080709,0.25423,2
check-workers,1713194786.3503678,1713194786.4637313,0.11336,2
system-monitoring,1713194786.3538685,1713194786.5663562,0.21249,2
server-monitoring,1713194786.3535926,1713194786.81006,0.45647,2
check-workers,1713194791.3506048,1713194791.4174745,0.06687,2
server-monitoring,1713194791.3555512,1713194791.5700507,0.2145,2
check-workers,1713194796.3504918,1713194796.4867928,0.1363,2
system-monitoring,1713194796.3547246,1713194796.7080362,0.35331,2
server-monitoring,1713194796.3544402,1713194796.7674024,0.41296,2
check-workers,1713194801.3503373,1713194801.4695458,0.11921,2
server-monitoring,1713194801.3533554,1713194801.6326342,0.27928,2
check-workers,1713194806.3502824,1713194806.4376743,0.08739,2
system-monitoring,1713194806.354539,1713194806.7248871,0.37035,2
server-monitoring,1713194806.3536806,1713194806.7763104,0.42263,2
check-workers,1713194811.351191,1713194811.4930143,0.14182,2
server-monitoring,1713194811.3549864,1713194811.7164178,0.36143,2
check-workers,1713194816.350438,1713194816.4708874,0.12045,2
server-monitoring,1713194816.35394,1713194816.6340215,0.28008,2
check-workers,1713194821.3504832,1713194821.475257,0.12477,2
server-monitoring,1713194821.3542302,1713194821.6703784,0.31615,2
model-pipeline,1713194826.3576615,1713194826.42839,0.07073,2
data-pipeline,1713194826.35675,1713194826.548127,0.19138,2
check-workers,1713194826.3521628,1713194826.5272238,0.17506,2
server-monitoring,1713194826.3556838,1713194826.8188672,0.46318,2
check-workers,1713194831.351023,1713194831.466316,0.11529,2
server-monitoring,1713194831.3532252,1713194831.622476,0.26925,2
check-workers,1713194836.350553,1713194836.4782612,0.12771,2
system-monitoring,1713194836.3545542,1713194836.5620549,0.2075,2
server-monitoring,1713194836.354273,1713194836.71493,0.36066,2
check-workers,1713194841.3503442,1713194841.4689353,0.11859,2
server-monitoring,1713194841.3546216,1713194841.631348,0.27673,2
